variety method tubers weight
Unica pot 9 209.9
Unica pot 3 248.4
Unica pot 4 53.6
Unica pot 4 77.2
Unica pot 2 11.3
Unica pot 2 17.8
Unica pot 3 28.1
Unica pot 6 33
Unica pot 9 81.5
Unica pot 6 71.1
Unica bed 5 97
Unica bed 3 90.1
Unica bed 3 24.7
Unica bed 5 65.6
Unica bed 4 47.2
Unica bed 10 128.8
Unica bed 10 136.8
Unica bed 6 29.2
Unica bed 4 124.5
Unica bed 8 53.2
Unica hydroponic 3 41.9
Unica hydroponic 2 20.85
Unica hydroponic 4 57.95
Unica hydroponic 4 46.4
Unica hydroponic 4 53.05
Unica hydroponic 3 49.9
Unica hydroponic 2 18.55
Unica hydroponic 3 19.4
Unica hydroponic 2 8.15
Unica hydroponic 3 23.65
Unica aeroponic 7 135.4
Unica aeroponic 3 59.1
Unica aeroponic 3 27.4
Unica aeroponic 4 90.7
Unica aeroponic 3 94.3
Unica aeroponic 3 133.7
Unica aeroponic 4 50.1
Unica aeroponic 0 0
Unica aeroponic 0 0
Unica aeroponic 0 0
Mariva pot 6 130
Mariva pot 5 91
Mariva pot 5 97.4
Mariva pot 7 131.9
Mariva pot 4 102.2
Mariva pot 8 105.8
Mariva pot 4 63.7
Mariva pot 5 64.8
Mariva pot 4 80
Mariva pot 10 59.6
Mariva bed 9 227.4
Mariva bed 8 131.5
Mariva bed 3 43
Mariva bed 5 25.1
Mariva bed 7 60.6
Mariva bed 4 93
Mariva bed 10 33.8
Mariva bed 5 49.1
Mariva bed 8 94.8
Mariva bed 13 190
Mariva hydroponic 4 14.1
Mariva hydroponic 2 17.3
Mariva hydroponic 2 25.45
Mariva hydroponic 3 54.9
Mariva hydroponic 2 9.2
Mariva hydroponic 1 20.95
Mariva hydroponic 3 13.5
Mariva hydroponic 4 13.9
Mariva hydroponic 2 10.75
Mariva hydroponic 2 6.05
Mariva aeroponic 5 47.9
Mariva aeroponic 12 145.4
Mariva aeroponic 7 60.3
Mariva aeroponic 6 43.6
Mariva aeroponic 5 72.6
Mariva aeroponic 13 323.3
Mariva aeroponic 4 14.7
Mariva aeroponic 4 96.6
Mariva aeroponic 7 116
Mariva aeroponic 6 109.3
Costanera pot 6 171.1
Costanera pot 7 140.2
Costanera pot 4 127.8
Costanera pot 4 139.9
Costanera pot 5 130
Costanera pot 3 154.5
Costanera pot 6 170.3
Costanera pot 7 158.1
Costanera pot 9 155.1
Costanera pot 8 162.4
Costanera bed 8 74.7
Costanera bed 6 128.2
Costanera bed 5 78
Costanera bed 3 111.2
Costanera bed 4 83.6
Costanera bed 5 50.4
Costanera bed 6 96.4
Costanera bed 5 124.3
Costanera bed 8 93.6
Costanera bed 3 92.2
Costanera hydroponic 4 41.7
Costanera hydroponic 8 48.6
Costanera hydroponic 7 36.8
Costanera hydroponic 7 25.9
Costanera hydroponic 5 20.9
Costanera hydroponic 5 24
Costanera hydroponic 5 22.2
Costanera hydroponic 4 19.2
Costanera hydroponic 4 22.1
Costanera hydroponic 5 36.3
Costanera aeroponic 8 40.7
Costanera aeroponic 9 78.1
Costanera aeroponic 4 42.1
Costanera aeroponic 6 35.6
Costanera aeroponic 5 26.6
Costanera aeroponic 5 24.4
Costanera aeroponic 3 29.9
Costanera aeroponic 4 43.3
Costanera aeroponic 5 23.4
Costanera aeroponic 5 67.1
Unica pot 3 117.3
Unica pot 2 41.8
Unica pot 3 30.8
Unica pot 3 76.3
Unica pot 6 46.7
Unica pot 7 57.7
Unica pot 4 50.4
Unica pot 6 52.9
Unica pot 4 32.6
Unica pot 8 81.2
Unica bed 9 71
Unica bed 7 50.2
Unica bed 3 59.4
Unica bed 3 47.4
Unica bed 3 46.4
Unica bed 1 38.4
Unica bed 3 33.5
Unica bed 6 79.6
Unica bed 3 38
Unica bed 3 87.9
Unica hydroponic 2 15.5
Unica hydroponic 2 46.9
Unica hydroponic 2 58.7
Unica hydroponic 2 21.8
Unica hydroponic 2 22
Unica hydroponic 2 15.2
Unica hydroponic 2 12.35
Unica hydroponic 1 19.35
Unica hydroponic 1 13
Unica hydroponic 2 9.8
Unica aeroponic 9 202
Unica aeroponic 4 83.5
Unica aeroponic 4 99.2
Unica aeroponic 3 48.8
Unica aeroponic 2 61.2
Unica aeroponic 5 92.7
Unica aeroponic 2 23.5
Unica aeroponic 4 91.4
Unica aeroponic 5 229.1
Unica aeroponic 0 0
Mariva pot 6 113.9
Mariva pot 7 109.1
Mariva pot 7 99.6
Mariva pot 4 86.3
Mariva pot 10 77.3
Mariva pot 5 123
Mariva pot 5 72.8
Mariva pot 3 39.7
Mariva pot 6 62.7
Mariva pot 3 66.2
Mariva bed 5 106.5
Mariva bed 5 191.7
Mariva bed 4 49.8
Mariva bed 3 27.4
Mariva bed 4 20.3
Mariva bed 7 68.5
Mariva bed 3 127
Mariva bed 4 38.8
Mariva bed 6 99.4
Mariva bed 5 196.4
Mariva hydroponic 3 15.4
Mariva hydroponic 2 12.55
Mariva hydroponic 2 14.45
Mariva hydroponic 1 22.7
Mariva hydroponic 1 12.6
Mariva hydroponic 2 20.25
Mariva hydroponic 2 15.5
Mariva hydroponic 1 22.9
Mariva hydroponic 2 14.35
Mariva hydroponic 3 4.65
Mariva aeroponic 6 101.4
Mariva aeroponic 5 11.7
Mariva aeroponic 4 97.4
Mariva aeroponic 7 138.2
Mariva aeroponic 7 78.3
Mariva aeroponic 3 71.7
Mariva aeroponic 8 120.5
Mariva aeroponic 5 117.8
Mariva aeroponic 3 94.5
Mariva aeroponic 3 72.3
Costanera pot 3 159.2
Costanera pot 6 159.1
Costanera pot 5 126.3
Costanera pot 4 131.6
Costanera pot 7 128.8
Costanera pot 8 144.9
